STR_RED                     : {RED}{STRING}
STR_SETTINGS_SET08          : Forbid 90 deg turns - <{LTBLUE} ON {ORANGE}> {STRING}
STR_SETTINGS_SET09          : Max bridge length - <{LTBLUE} {NUM} {ORANGE}> {}{} {STRING}
STR_SETTINGS_SET10          : Max tunnel length - <{LTBLUE} {NUM} {ORANGE}>
STR_SETTINGS_SET11          : Station spread - <{LTBLUE} {NUM} {ORANGE}> {STRING}
STR_SETTINGS_SET12          : Max loan - <{LTBLUE} {NUM} {ORANGE}> {}{} {STRING}
STR_SETTINGS_SET13          : Max trains - <{LTBLUE} {NUM} {ORANGE}> {STRING}
STR_SETTINGS_SET14          : Max road vehicles - <{LTBLUE} {NUM} {ORANGE}> {}{} {STRING}
STR_SETTINGS_SET15          : Max ships - <{LTBLUE} {NUM} {ORANGE}> {STRING}
STR_SETTINGS_SET16          : Max aircrafts - <{LTBLUE} {NUM} {ORANGE}>

STR_STUFF_SET1              : iTKerry {}#{LTBLUE} Administrator: {GREEN}[ general ]{}{}{STRING}{}{}{STRING}
STR_STUFF_SET2              : same-f {}#{LTBLUE} Administrator: {GREEN}[ general ]
STR_STUFF_SET3              : Rau {}#{LTBLUE} Moderator: {GREEN}[ vanilla server ]
STR_STUFF_SET4              : Redline {}#{LTBLUE} Moderator: {GREEN}[ vanilla & welcome servers ]{}{}{STRING}{}{}{STRING}
STR_STUFF_SET5              : Starbud {}#{LTBLUE} Moderator: {GREEN}[ vanilla server ]
STR_STUFF_SET6              : DixieCyanide {}#{LTBLUE} Moderator: {GREEN}[ discord server ]

STR_LINK_PRE                : {BLACK} ### {YELLOW} You can also find us on the social links:
STR_LINK_TELEGRAM           : {BLACK}{}{} # {WHITE}https://t.me/TG_OpenTTD{}{STRING}{}
STR_LINK_DISCORD            : {BLACK}{}{} # {WHITE}https://discord.gg/qXBPgCpsnT{}{STRING}{}
STR_LINK_WEB                : {BLACK}{}{} # {WHITE}https://tg-ottd.org{}

STR_GOALS_PRE               : "STR_GOALS_PRE"
STR_GOALS_FIRST             : "STR_GOALS_FIRST"

STR_QUESTION_RULES1         : {WHITE} Hi, stranger. {}{} We are glad that you have choosen our server for the game, but first of all we want to make sure that you are aware of our {YELLOW} Rules {WHITE}. {}{} You can find the rules in the ''StoryBook tab''. Please read them, they are quite simple and short. {} Keep in mind that by clicking the button below - you agree to our rules and undertake to comply with them.
STR_QUESTION_RULES2         : {YELLOW} The company {LTBLUE}{COMPANY} {YELLOW} has {RED} not yet {ORANGE} ACCEPTED {YELLOW} our rules.
STR_ACCEPTED_RULES          : {YELLOW} The company {LTBLUE}{COMPANY} {YELLOW} read our rules and  {GREEN} ACCEPTED {YELLOW} the condition to comply with them. Congratz!!!
STR_DECLINED_RULES          : {YELLOW} The company {LTBLUE}{COMPANY} {YELLOW} read our rules and  {RED} DECLINED {YELLOW} the condition to comply with them. sad......

STR_RANK                    : {NUM} - {COMPANY} with {NUM} points
STR_RANK_COMPANY            : {BLACK} Hi, {LTBLUE}{COMPANY}{}{}{BLACK} We are glad that you have choosen our server for the game, but first of all we want to make sure that you are aware of our {YELLOW} Rules {BLACK}. {}{} Please read them, they are quite simple and short.{}{}{STRING}
STR_RANK_COMPANY2           : {BLACK} Your company has {RED} not yet {ORANGE} ACCEPTED {BLACK} our rules.

STR_WELCOME_TITLE           : Welcome::TeamGame_OpenTTD
STR_RULES_TITLE             : Server::Rules
STR_SETTINGS_TITLE          : Server::Settings
STR_STUFF_TITLE             : Administration::Stuff
STR_LINKS_TITLE             : Links::Social
STR_GOALS_TITLE             : Goals::ForYou
STR_COMPANY_TITLE           : {COMPANY}::Page

STR_SERVER_DEFAULT          : ''This server''
STR_SERVER_VANILLA          : ''TG Vanilla server''
STR_SERVER_WELCOME          : ''TG Welcome server''
STR_SERVER_PUBLIC           : ''TG Public server''

STR_SERVER_DEFAULT_AWARE    : PLACEHOLDER. {}{} {STRING}
STR_SERVER_VANILLA_AWARE    : Company will be removed in {RED} 4 hours {YELLOW} after last player leave it. {}{} {STRING}
STR_SERVER_WELCOME_AWARE    : Dont forget to set PASSWORD on your company, for prevent reset. {}{} {STRING}
STR_SERVER_PUBLIC_AWARE     : PLACEHOLDER. {}{} {STRING}
