STR_WELCOME_TITLE       : Welcome::TeamGame_OpenTTD
STR_SETTINGS_SET6       : {YELLOW}#{BLACK} Inflation {YELLOW}- [ {LTBLUE} OFF {YELLOW} ] {BLACK} {}{}{STRING}
STR_SETTINGS_SET7       : {YELLOW}#{BLACK} Never expire vehicles {YELLOW}- [ {LTBLUE} ON {YELLOW} ] . . . . {STRING}
STR_SETTINGS_SET8       : {YELLOW}#{BLACK} Forbid 90 deg turns {YELLOW}- [ {LTBLUE} ON {YELLOW} ] {BLACK} {}{}{STRING}
STR_SETTINGS_SET9       : {YELLOW}#{BLACK} Max bridge length {YELLOW}- [ {LTBLUE} {NUM} {YELLOW} ] . . . . . . . . . {YELLOW}#{BLACK} Max tunnel length {YELLOW}- [ {LTBLUE} {NUM} {YELLOW} ] {BLACK} {}{} {YELLOW}#{BLACK} Station spread {YELLOW}- [ {LTBLUE} {NUM} {YELLOW} ] . . . . . . . . . . . . {YELLOW}#{BLACK} Max loan {YELLOW}- [ {LTBLUE} {NUM} {YELLOW} ] {BLACK}

STR_STUFF_SET1          : {BLACK} @ {YELLOW} iTKerry {}#{LTBLUE} Administrator: {GREEN}[ general ]{}{}{STRING}{}{}{STRING}
STR_STUFF_SET2          : {BLACK} @ {YELLOW} same-f {}#{LTBLUE} Administrator: {GREEN}[ general ]
STR_STUFF_SET3          : {BLACK} @ {YELLOW} Rau {}#{LTBLUE} Moderator: {GREEN}[ vanilla server ]
STR_STUFF_SET4          : {BLACK} @ {YELLOW} Redline {}#{LTBLUE} Moderator: {GREEN}[ vanilla & welcome servers ]{}{}{STRING}{}{}{STRING}
STR_STUFF_SET5          : {BLACK} @ {YELLOW} Starbud {}#{LTBLUE} Moderator: {GREEN}[ vanilla server ]
STR_STUFF_SET6          : {BLACK} @ {YELLOW} DixieCyanide {}#{LTBLUE} Moderator: {GREEN}[ discord server ]

STR_LINK_PRE            : {BLACK} ### {YELLOW} You can also find us on the social links:
STR_LINK_TELEGRAM       : {BLACK}{}{} # {WHITE}https://t.me/TG_OpenTTD{}{STRING}{}
STR_LINK_DISCORD        : {BLACK}{}{} # {WHITE}https://discord.gg/qXBPgCpsnT{}{STRING}{}
STR_LINK_WEB            : {BLACK}{}{} # {WHITE}https://tg-ottd.org{}

STR_GOALS_PRE           : "STR_GOALS_PRE"
STR_GOALS_FIRST         : "STR_GOALS_FIRST"

STR_QUESTION_RULES1     : {WHITE} Hi, stranger. {}{} We are glad that you have choosen our server for the game, but first of all we want to make sure that you are aware of our {YELLOW} Rules {WHITE}. {}{} You can find the rules in the ''StoryBook tab''. Please read them, they are quite simple and short. {} Keep in mind that by clicking the button below - you agree to our rules and undertake to comply with them.
STR_QUESTION_RULES2     : {YELLOW} The company {LTBLUE}{COMPANY} {YELLOW} has {RED} not yet {ORANGE} ACCEPTED {YELLOW} our rules.
STR_ACCEPTED_RULES      : {YELLOW} The company {LTBLUE}{COMPANY} {YELLOW} read our rules and  {GREEN} ACCEPTED {YELLOW} the condition to comply with them. Congratz!!!
STR_DECLINED_RULES      : {YELLOW} The company {LTBLUE}{COMPANY} {YELLOW} read our rules and  {RED} DECLINED {YELLOW} the condition to comply with them. sad......

STR_DUR_GAME            : {LTBLUE} {NUM} {YELLOW} ] {BLACK} about [{BLACK} {NUM} {BLACK}] {BLACK}years {}{}{STRING}
STR_DUR_2GAME           : {LTBLUE} Right time {RED}* {YELLOW} ] {}{RED}*{BLACK} Server restarts when is the right time to do it (when map is full or people get bored). Questions when exactly that happens are considered {RED} EVIL {BLACK} !!! {}{}{STRING}
STR_RED                 : {RED}{STRING}
STR_ORANGE              : {ORANGE}{STRING}
STR_YELLOW              : {YELLOW}{STRING}
STR_GREEN               : {GREEN}{STRING}
STR_RANK                : {NUM} - {COMPANY} with {NUM} points
STR_RANK_COMPANY        : {BLACK} Hi, {LTBLUE}{COMPANY}{}{}{BLACK} We are glad that you have choosen our server for the game, but first of all we want to make sure that you are aware of our {YELLOW} Rules {BLACK}. {}{} Please read them, they are quite simple and short.{}{}{STRING}
STR_RANK_COMPANY2       : {BLACK} Your company has {RED} not yet {ORANGE} ACCEPTED {BLACK} our rules.
