STR_WELCOME_TITLE       : Welcome::TeamGame_OpenTTD
STR_SETTINGS_SET2       : {YELLOW}#{BLACK} Максимум [автомобилей] {YELLOW} / {BLACK} [кораблей] {YELLOW} / {BLACK} [самолетов] {YELLOW}{RIGHT_ARROW} - [{LTBLUE} {NUM}] {YELLOW} / {YELLOW} [{LTBLUE} {NUM}] {YELLOW} / {YELLOW} [{LTBLUE} {NUM}] {BLACK} {}{}{}{STRING}
STR_SETTINGS_SET3       : {YELLOW}#{BLACK} Максимум [поездов] {YELLOW}{RIGHT_ARROW} - [{LTBLUE} {NUM} {YELLOW}] {BLACK} {STRING}
STR_SETTINGS_SET4       : {YELLOW}#{BLACK} Поломки {YELLOW}{RIGHT_ARROW} - [{LTBLUE} ОТКЛ {YELLOW}] {BLACK} {}
STR_SETTINGS_SET5       : {YELLOW}#{BLACK} Rail firstred twoway eol {YELLOW}{RIGHT_ARROW} - [{LTBLUE} ВКЛ {YELLOW}] {BLACK} {STRING}
STR_SETTINGS_SET6       : {YELLOW}#{BLACK} Инфляция {YELLOW}{RIGHT_ARROW} - [{LTBLUE} ОТКЛ {YELLOW}] {BLACK} {}{}{}{STRING}
STR_SETTINGS_SET7       : {YELLOW}#{BLACK} Транспорт никогда не устаревает {YELLOW}{RIGHT_ARROW} - [{LTBLUE} ВКЛ {YELLOW}] {BLACK} {STRING}
STR_SETTINGS_SET8       : {YELLOW}#{BLACK} Запрет на 90-град. повороты {YELLOW}{RIGHT_ARROW} - [{LTBLUE} ВКЛ {YELLOW}] {BLACK} {}{}{}{STRING}
STR_SETTINGS_SET9       : {YELLOW}#{BLACK} Максимальная длина моста {YELLOW}{RIGHT_ARROW} - [{LTBLUE} {NUM} {YELLOW}] {BLACK} {YELLOW}#{BLACK} Максимальная длина тоннеля {YELLOW}{RIGHT_ARROW} - [{LTBLUE} {NUM} {YELLOW}] {BLACK} {}{}{}{YELLOW}#{BLACK} Расширение станции {YELLOW}{RIGHT_ARROW} - [{LTBLUE} {NUM} {YELLOW}] {YELLOW}#{BLACK} Максимальный займ {YELLOW}{RIGHT_ARROW} - [{LTBLUE} {NUM} {YELLOW}] {BLACK}{}{}

STR_STUFF_SET1          : {BLACK}-{YELLOW} @ iTKerry {}{RIGHT_ARROW}{LTBLUE} Администратор: {GREEN}[ генеральный ]{}{}{}{STRING}{}{}{}{STRING}
STR_STUFF_SET2          : {BLACK}-{YELLOW} @ same-f {}{RIGHT_ARROW}{LTBLUE} Администратор: {GREEN}[ генеральный ]
STR_STUFF_SET3          : {BLACK}-{YELLOW} @ Rau {}{RIGHT_ARROW}{LTBLUE} Модератор: {GREEN}[ ванильный сервер ]{}
STR_STUFF_SET4          : {BLACK}-{YELLOW} @ Redline {}{RIGHT_ARROW}{LTBLUE} Модератор: {GREEN}[ ванильный и велкам сервера ]{}{}{}{STRING}{}{}{}{STRING}
STR_STUFF_SET5          : {BLACK}-{YELLOW} @ Starbud {}{RIGHT_ARROW}{LTBLUE} Модератор: {GREEN}[ ванильный сервер ]
STR_STUFF_SET6          : {BLACK}-{YELLOW} @ DixieCyanide {}{RIGHT_ARROW}{LTBLUE} Модератор: {GREEN}[ дискорд сервер ]{}

STR_LINK_PRE            : {BLACK}- {YELLOW} Вы также можете найти нас по этим ссылкам:{}
STR_LINK_TELEGRAM       : {BLACK}- {WHITE}https://t.me/TG_OpenTTD{}{}{}{STRING}
STR_LINK_DISCORD        : {BLACK}- {WHITE}https://discord.gg/qXBPgCpsnT{}{}{}{STRING}
STR_LINK_WEB            : {BLACK}- {WHITE}https://tg-ottd.org{}

STR_GOALS_PRE           : "STR_GOALS_PRE"
STR_GOALS_FIRST         : "STR_GOALS_FIRST"

STR_QUESTION_RULES1     : {WHITE} Привет незнакомец. {}{} Мы рады, что вы выбрали наш сервер для игры, но прежде всего мы хотим убедиться, что вы ознакомлены с нашими {YELLOW} Правилами {WHITE}. {}{} Правила можно найти на вкладке 'Историй'. Пожалуйста, прочтите их, они довольно простые и короткие. {}{} Имейте в виду, что, нажимая кнопку ниже, вы соглашаетесь с нашими правилами и обязуетесь их соблюдать.
STR_QUESTION_RULES2     : {YELLOW} Компания {LTBLUE}{COMPANY} {YELLOW} {RED} еще не {ORANGE} ПРИНЯЛА {YELLOW} наши правила.
STR_ACCEPTED_RULES      : {YELLOW} Компания {LTBLUE}{COMPANY} {YELLOW} прочитала наши правила и {GREEN} ПРИНЯЛА {YELLOW} условие их соблюдения. Поздравляю!!!
STR_DECLINED_RULES      : {YELLOW} Компания {LTBLUE}{COMPANY} {YELLOW} прочитала наши правила и {RED} ОТВЕРГЛА {YELLOW} условие их соблюдения. Что-ж ......

STR_DUR_GAME            : {LTBLUE} {NUM} {YELLOW}] {BLACK} about [{BLACK} {NUM} {BLACK}] {BLACK}years {}{}{}{STRING}
STR_DUR_2GAME           : {LTBLUE} По необходимости {RED}* {YELLOW}] {}{}{RED}*{BLACK} Сервер перезагружается тогда, когда это необходимо (например, когда карта заполнена или людям становится скучно).  Вопросы, когда именно это происходит, считаются {RED} ЗЛОМ {BLACK} !!! {}{}{}{STRING}
STR_RED                 : {RED}{STRING}
STR_ORANGE              : {ORANGE}{STRING}
STR_YELLOW              : {YELLOW}{STRING}
STR_GREEN               : {GREEN}{STRING}
STR_RANK                : {NUM} - {COMPANY} with {NUM} points
STR_RANK_COMPANY        : {BLACK} Приветствуем, {LTBLUE}{COMPANY}{}{}{BLACK} Мы рады, что вы выбрали наш сервер для игры, но прежде всего мы хотим убедиться, что вы ознакомлены с нашими {YELLOW} Правилами {BLACK}. {}{} Пожалуйста, прочтите их, они довольно простые и короткие. {}{}{STRING}
STR_RANK_COMPANY2       : {BLACK} Your company has {RED} not yet {ORANGE} ACCEPTED {BLACK} our rules.
